Codigo Municipio,1 persona,2 personas,3 personas,4 personas,5 personas,6 o más personas
09011,*,35,5,20,15,*
39001,215,660,580,800,145,85
09907,140,435,360,805,110,85
09012,15,25,35,35,5,*
41007,945,2890,3705,5490,1985,720
24002,40,65,60,50,45,35
07004,370,1285,1440,1545,425,210
41008,135,335,325,355,140,25
11003,100,295,500,475,95,35
19016,10,25,10,*,*,25
46028,60,160,170,105,55,*
18012,440,1025,720,750,20,70
16013,*,20,*,*,*,*
29005,685,1640,1095,1880,925,*
29006,100,220,240,260,50,*
11004,8810,20705,31355,38960,13090,4485
46029,2600,5750,7505,8850,2695,735
25015,35,120,135,125,25,*
28009,860,2835,4975,7025,3655,940
46030,115,190,415,245,30,30
12008,55,100,75,50,5,10
46031,1330,3085,4185,3830,390,785
11005,545,1420,1350,1545,730,90
49006,25,35,55,30,15,15
19017,15,25,30,*,0,30
03012,370,1550,640,580,175,*
25016,170,655,820,1100,140,205
30007,435,1790,2190,2340,1415,1185
03013,105,520,335,375,125,45
04010,90,145,150,140,70,95
04011,260,715,875,1490,405,45
50020,145,290,315,260,100,55
18013,555,1270,1490,1925,715,225
30008,1415,4245,4400,6865,2285,1310
13010,100,180,215,440,95,70
29007,1460,5830,9895,12590,4940,2140
29008,1615,4250,4650,8540,2340,1740
18014,615,1430,2145,2775,620,*
19018,40,80,45,45,*,*
10017,190,420,180,155,15,*
44017,65,125,75,45,50,*
16014,70,125,200,215,125,25
03014,34775,81600,79270,92065,29425,10965
04012,25,50,60,105,25,*
18015,45,80,165,100,80,35
24003,135,330,110,135,55,*
25017,20,80,105,65,25,5
43010,20,110,140,60,35,30
19019,*,20,*,*,*,*
10018,190,610,420,565,100,70
42016,*,*,15,*,*,*
21002,850,3365,5255,7210,2295,490
06009,30,75,35,65,35,*
20006,30,70,45,160,45,20
33001,115,525,465,400,190,255
32001,470,1750,1405,1700,410,200
44021,15,25,20,40,20,*
33002,1655,3375,3915,2500,545,120
31011,90,155,170,305,100,35
31012,100,310,300,280,10,45
44022,90,220,140,195,25,*
44023,*,*,*,*,*,10
25019,435,1765,1790,1285,525,595
29009,150,465,510,600,75,95
13011,540,1535,1340,1795,615,60
41009,195,300,350,475,170,30
13012,60,130,80,120,75,45
19020,20,10,0,*,*,55
13013,455,1635,1740,3215,1125,955
42017,15,75,50,55,20,*
42018,20,65,50,45,5,5
02009,2145,5270,6415,9580,1190,640
24004,65,190,175,185,*,*
10019,105,290,440,525,190,*
49007,60,110,105,100,20,*
16015,70,115,145,145,10,25
29010,185,455,570,745,150,55
42019,60,150,70,325,40,*
26012,*,10,*,*,*,*
46032,560,1765,2070,2395,200,305
25020,50,85,95,65,15,45
42020,535,1130,1380,1765,695,310
12009,2540,5825,7500,7335,1420,840
42021,15,55,10,20,*,*
12010,35,110,40,90,25,*
13014,55,155,215,165,15,40
14004,240,605,560,860,230,*
18016,100,120,75,60,*,60
49008,95,155,120,115,55,15
25021,265,660,1015,850,470,365
42022,50,110,65,40,10,*
12011,635,1430,1935,1600,365,95
47008,*,15,5,*,5,*
37027,35,60,105,70,25,*
37028,30,60,45,30,10,*
06010,165,295,360,300,120,50
45011,65,115,45,90,45,*
06011,2585,7275,8435,10675,2090,3085
21003,110,210,170,270,95,*
16016,30,115,35,55,5,45
41010,340,1330,1475,1700,670,230
04013,14730,36445,46660,59685,19700,11740
46033,20,60,40,95,45,45
50021,10,15,10,*,*,*
04014,35,60,60,20,10,*
13015,545,1625,1705,2235,505,60
16017,50,110,100,150,20,20
14005,460,1840,1915,2570,685,505
29011,270,840,730,1405,470,370
19021,165,445,295,285,280,*
44018,*,*,*,*,*,*
10020,160,525,335,750,180,*
46034,280,540,800,525,140,65
50022,55,80,110,150,155,55
50023,30,70,50,100,10,15
50024,120,310,120,165,50,*
45012,75,290,290,105,110,*
19022,105,205,110,170,95,*
16018,30,130,80,210,15,*
21004,220,470,550,405,100,85
21005,1075,4180,5240,7410,3240,970
03015,1495,4110,4925,5260,2295,1080
45013,180,500,705,565,315,185
43011,70,290,270,575,145,20
03016,25,35,10,45,5,*
22021,180,575,690,715,160,165
50025,470,1470,2190,2745,665,180
22022,50,205,185,165,55,5
22023,50,130,155,155,55,15
18017,1945,6620,6555,7405,3175,1160
13016,75,195,180,310,50,25
46035,740,2060,2015,3020,595,*
44019,10,10,25,10,15,*
19023,15,40,60,30,5,*
48912,345,810,730,895,25,35
29012,1070,2800,3105,3660,840,1770
25022,25,40,35,15,20,5
21006,430,1150,855,970,660,130
19024,555,2165,2900,4655,1500,320
29013,220,650,420,595,185,140
17006,285,405,405,540,20,55
29014,60,115,70,30,*,*
42023,10,25,35,10,*,*
50026,70,115,140,200,50,*
28010,905,2610,3555,4995,925,490
08004,35,75,65,85,35,5
44020,5,*,*,10,*,5
02010,190,555,445,870,310,30
25023,365,1025,1630,2120,580,405
46036,65,265,180,100,135,15
18904,165,360,255,185,155,20
03017,55,135,120,110,95,10
46037,125,400,435,435,65,50
12901,290,1345,1050,1360,280,105
22024,60,80,70,60,10,*
18018,60,150,170,205,120,25
04015,30,65,*,40,*,*
25024,80,90,120,100,40,*
09013,*,25,20,*,10,*
43012,475,1095,915,1465,610,295
16019,35,60,70,45,30,*
03018,2550,5210,5780,5225,3270,280
22025,90,375,550,230,215,15
09014,30,75,25,25,25,15
31010,775,2070,1845,2460,370,75
12012,315,855,1075,1155,285,100
20906,15,25,60,35,20,5
20007,35,45,65,200,55,5
19027,50,35,80,55,*,0
46017,3660,10370,12920,13265,2415,1915
05012,30,50,30,45,10,10
34009,10,15,*,15,*,*
50027,30,55,95,65,25,15
28011,80,180,145,145,15,*
17007,250,615,670,545,90,80
15002,2600,6815,8055,7740,3115,785
31013,95,205,180,155,110,40
43013,575,2375,1745,2095,525,25
08005,375,1250,1980,3405,955,140
09016,15,50,30,*,5,*
20008,85,245,210,235,130,60
33003,*,285,280,*,165,*
32002,65,835,910,415,5,50
48003,1515,4620,5180,5380,1315,295
48004,35,70,100,85,105,10
43906,360,1060,835,805,190,85
43014,1675,4695,6275,6970,1210,410
34010,70,180,125,150,70,25
39002,345,1440,880,1300,295,*
01002,730,2545,2945,2745,690,360
34011,70,80,145,125,20,0
47009,10,35,30,45,*,*
44024,*,15,*,*,*,*
40017,20,40,30,30,10,10
37029,25,55,70,60,20,*
28012,110,260,360,350,35,55
13017,35,115,105,70,5,*
31014,40,95,90,135,15,*
49009,55,175,125,90,15,25
46038,35,60,60,35,55,150
20009,1510,4575,3370,4135,390,585
44025,600,2160,1810,2955,450,170
31015,230,585,570,995,390,140
07005,1300,3655,3000,2180,825,275
23005,2945,8630,8620,13245,4270,850
50028,*,35,25,35,20,5
17008,490,1340,1160,1715,525,450
25027,105,390,350,370,150,*
19031,*,*,*,*,*,*
26013,60,135,170,55,10,35
22027,35,95,45,150,30,*
26014,65,190,120,100,15,*
19032,40,90,85,*,*,*
09017,25,55,35,15,5,*
39003,20,70,65,100,70,30
50029,90,235,155,250,15,50
46039,190,590,750,810,230,55
20010,145,375,595,630,60,30
19033,25,15,15,30,10,*
19034,*,5,*,*,10,*
22028,65,145,75,125,55,*
31016,960,2935,2585,3355,990,*
04016,225,585,970,885,450,145
27003,170,485,645,400,340,170
46040,125,330,445,245,255,15
29015,2810,7890,9730,14415,5130,1615
35003,1090,3495,2370,2190,480,755
24005,80,135,125,65,55,*
34012,50,65,105,100,60,*
22029,10,20,25,50,20,20
20011,185,505,645,615,190,10
31017,40,145,85,155,*,10
01049,30,45,25,60,5,*
40018,20,45,20,*,*,15
50030,40,55,55,25,15,*
14006,140,305,395,455,185,85
31018,65,135,160,165,55,*
45014,245,945,1510,1655,495,530
37030,10,35,20,25,5,*
31019,265,670,470,1025,150,10
37031,45,120,115,110,40,5
21007,670,1550,1855,2320,1085,265
38004,330,995,1440,1830,600,320
22032,25,35,40,15,15,*
41011,850,2720,4870,7310,2565,1105
40019,20,25,*,*,*,*
31020,75,115,70,155,110,50
48005,10,25,45,30,25,*
31025,115,185,245,335,70,*
20012,10,65,40,65,20,*
01003,125,380,270,545,120,65
31021,5,5,20,30,30,*
42024,35,40,*,*,*,*
09018,3475,7285,8820,10440,2320,710
50031,40,80,20,40,15,*
50032,50,125,70,115,30,*
09019,30,35,50,35,5,15
16020,*,5,*,*,*,*
15003,145,420,330,295,470,410
31023,335,1310,1625,3015,1100,560
28013,3945,11035,13565,17610,6555,2225
31024,15,40,15,20,30,*
31022,65,110,145,230,70,25
48006,30,85,120,120,10,*
19036,45,145,40,140,100,*
12013,55,60,45,10,30,*
37032,85,185,205,125,10,*
31026,35,65,30,35,20,*
46041,55,110,105,150,*,*
09020,50,90,90,75,5,50
09021,10,20,35,*,*,*
09022,15,40,15,15,*,5
19037,30,50,35,15,25,0
25029,230,550,685,585,360,35
19038,10,25,10,*,*,*
31027,50,220,315,300,115,95
36001,265,900,635,830,455,45
43016,385,1200,1270,1385,985,225
04017,390,2345,695,810,125,165
43015,15,25,35,30,*,5
