Nombre CCAA,Codigo CCAA,Nombre Provincia,Codigo Provincia,Nombre Municipio,Codigo Municipio
Castilla-La Mancha,08,Albacete,02,Montalvos,02050
Castilla-La Mancha,08,Albacete,02,Montealegre del Castillo,02051
Castilla-La Mancha,08,Albacete,02,Motilleja,02052
Castilla-La Mancha,08,Albacete,02,Munera,02053
Castilla-La Mancha,08,Albacete,02,Navas de Jorquera,02054
Castilla-La Mancha,08,Albacete,02,Nerpio,02055
Castilla-La Mancha,08,Albacete,02,Ontur,02056
Castilla-La Mancha,08,Albacete,02,Ossa de Montiel,02057
Castilla-La Mancha,08,Albacete,02,Paterna del Madera,02058
Castilla-La Mancha,08,Albacete,02,Peñas de San Pedro,02060
Castilla-La Mancha,08,Albacete,02,Peñascosa,02059
Castilla-La Mancha,08,Albacete,02,Pétrola,02061
Castilla-La Mancha,08,Albacete,02,Povedilla,02062
Castilla-La Mancha,08,Albacete,02,Pozo Cañada,02901
Castilla-La Mancha,08,Albacete,02,Pozohondo,02063
Castilla-La Mancha,08,Albacete,02,Pozo-Lorente,02064
Castilla-La Mancha,08,Albacete,02,Pozuelo,02065
Castilla-La Mancha,08,Albacete,02,"Recueja, La",02066
Castilla-La Mancha,08,Albacete,02,Riópar,02067
Castilla-La Mancha,08,Albacete,02,Robledo,02068
Castilla-La Mancha,08,Albacete,02,"Roda, La",02069
Castilla-La Mancha,08,Albacete,02,Salobre,02070
Castilla-La Mancha,08,Albacete,02,San Pedro,02071
Castilla-La Mancha,08,Albacete,02,Socovos,02072
Castilla-La Mancha,08,Albacete,02,Tarazona de la Mancha,02073
Castilla-La Mancha,08,Albacete,02,Tobarra,02074
Castilla-La Mancha,08,Albacete,02,Valdeganga,02075
Castilla-La Mancha,08,Albacete,02,Vianos,02076
Castilla-La Mancha,08,Albacete,02,Villa de Ves,02077
Castilla-La Mancha,08,Albacete,02,Villalgordo del Júcar,02078
Castilla-La Mancha,08,Albacete,02,Villamalea,02079
Castilla-La Mancha,08,Albacete,02,Villapalacios,02080
Castilla-La Mancha,08,Albacete,02,Villarrobledo,02081
Castilla-La Mancha,08,Albacete,02,Villatoya,02082
Castilla-La Mancha,08,Albacete,02,Villavaliente,02083
Castilla-La Mancha,08,Albacete,02,Villaverde de Guadalimar,02084
Castilla-La Mancha,08,Albacete,02,Viveros,02085
Castilla-La Mancha,08,Albacete,02,Yeste,02086
Comunidad Valenciana,10,Alicante/Alacant,03,Agost,03002
Comunidad Valenciana,10,Alicante/Alacant,03,Agres,03003
Comunidad Valenciana,10,Alicante/Alacant,03,Aigües,03004
Comunidad Valenciana,10,Alicante/Alacant,03,Albatera,03005
Comunidad Valenciana,10,Alicante/Alacant,03,Alcalalí,03006
Comunidad Valenciana,10,Alicante/Alacant,03,Alcoleja,03008
Comunidad Valenciana,10,Alicante/Alacant,03,Alcosser,03007
Comunidad Valenciana,10,Alicante/Alacant,03,Alcoy/Alcoi,03009
Comunidad Valenciana,10,Alicante/Alacant,03,Alfafara,03010
Comunidad Valenciana,10,Alicante/Alacant,03,"Alfàs del Pi, l'",03011
Comunidad Valenciana,10,Alicante/Alacant,03,Algorfa,03012
Comunidad Valenciana,10,Alicante/Alacant,03,Algueña,03013
Comunidad Valenciana,10,Alicante/Alacant,03,Alicante/Alacant,03014
Comunidad Valenciana,10,Alicante/Alacant,03,Almoradí,03015
Comunidad Valenciana,10,Alicante/Alacant,03,Almudaina,03016
Comunidad Valenciana,10,Alicante/Alacant,03,"Alqueria d'Asnar, l'",03017
Comunidad Valenciana,10,Alicante/Alacant,03,Altea,03018
Comunidad Valenciana,10,Alicante/Alacant,03,Aspe,03019
Comunidad Valenciana,10,Alicante/Alacant,03,"Atzúbia, l'",03001
Comunidad Valenciana,10,Alicante/Alacant,03,Balones,03020
Comunidad Valenciana,10,Alicante/Alacant,03,Banyeres de Mariola,03021
Comunidad Valenciana,10,Alicante/Alacant,03,Benasau,03022
Comunidad Valenciana,10,Alicante/Alacant,03,Beneixama,03023
Comunidad Valenciana,10,Alicante/Alacant,03,Benejúzar,03024
Comunidad Valenciana,10,Alicante/Alacant,03,Benferri,03025
Comunidad Valenciana,10,Alicante/Alacant,03,Beniarbeig,03026
Comunidad Valenciana,10,Alicante/Alacant,03,Beniardá,03027
Comunidad Valenciana,10,Alicante/Alacant,03,Beniarrés,03028
Comunidad Valenciana,10,Alicante/Alacant,03,Benidoleig,03030
Comunidad Valenciana,10,Alicante/Alacant,03,Benidorm,03031
Comunidad Valenciana,10,Alicante/Alacant,03,Benifallim,03032
Comunidad Valenciana,10,Alicante/Alacant,03,Benifato,03033
Comunidad Valenciana,10,Alicante/Alacant,03,Benigembla,03029
Comunidad Valenciana,10,Alicante/Alacant,03,Benijófar,03034
Comunidad Valenciana,10,Alicante/Alacant,03,Benilloba,03035
Comunidad Valenciana,10,Alicante/Alacant,03,Benillup,03036
Comunidad Valenciana,10,Alicante/Alacant,03,Benimantell,03037
Comunidad Valenciana,10,Alicante/Alacant,03,Benimarfull,03038
Comunidad Valenciana,10,Alicante/Alacant,03,Benimassot,03039
Comunidad Valenciana,10,Alicante/Alacant,03,Benimeli,03040
Comunidad Valenciana,10,Alicante/Alacant,03,Benissa,03041
Comunidad Valenciana,10,Alicante/Alacant,03,"Benitachell/Poble Nou de Benitatxell, el",03042
Comunidad Valenciana,10,Alicante/Alacant,03,Biar,03043
Comunidad Valenciana,10,Alicante/Alacant,03,Bigastro,03044
Comunidad Valenciana,10,Alicante/Alacant,03,Bolulla,03045
Comunidad Valenciana,10,Alicante/Alacant,03,Busot,03046
Comunidad Valenciana,10,Alicante/Alacant,03,Callosa de Segura,03049
Comunidad Valenciana,10,Alicante/Alacant,03,Callosa d'en Sarrià,03048
Comunidad Valenciana,10,Alicante/Alacant,03,Calp,03047
Comunidad Valenciana,10,Alicante/Alacant,03,"Campello, el",03050
Comunidad Valenciana,10,Alicante/Alacant,03,"Campo de Mirra/Camp de Mirra, el",03051
Comunidad Valenciana,10,Alicante/Alacant,03,Cañada,03052
Comunidad Valenciana,10,Alicante/Alacant,03,Castalla,03053
Comunidad Valenciana,10,Alicante/Alacant,03,Castell de Castells,03054
Comunidad Valenciana,10,Alicante/Alacant,03,"Castell de Guadalest, el",03075
Comunidad Valenciana,10,Alicante/Alacant,03,Catral,03055
Comunidad Valenciana,10,Alicante/Alacant,03,Cocentaina,03056
Comunidad Valenciana,10,Alicante/Alacant,03,Confrides,03057
Comunidad Valenciana,10,Alicante/Alacant,03,Cox,03058
Comunidad Valenciana,10,Alicante/Alacant,03,Crevillent,03059
Comunidad Valenciana,10,Alicante/Alacant,03,Daya Nueva,03061
Comunidad Valenciana,10,Alicante/Alacant,03,Daya Vieja,03062
Comunidad Valenciana,10,Alicante/Alacant,03,Dénia,03063
Comunidad Valenciana,10,Alicante/Alacant,03,Dolores,03064
Comunidad Valenciana,10,Alicante/Alacant,03,Elche/Elx,03065
Comunidad Valenciana,10,Alicante/Alacant,03,Elda,03066
Comunidad Valenciana,10,Alicante/Alacant,03,Fageca,03067
Comunidad Valenciana,10,Alicante/Alacant,03,Famorca,03068
Comunidad Valenciana,10,Alicante/Alacant,03,Finestrat,03069
Comunidad Valenciana,10,Alicante/Alacant,03,"Fondó de les Neus, el/Hondón de las Nieves",03077
Comunidad Valenciana,10,Alicante/Alacant,03,Formentera del Segura,03070
Comunidad Valenciana,10,Alicante/Alacant,03,Gaianes,03072
Comunidad Valenciana,10,Alicante/Alacant,03,Gata de Gorgos,03071
Comunidad Valenciana,10,Alicante/Alacant,03,Gorga,03073
Comunidad Valenciana,10,Alicante/Alacant,03,Granja de Rocamora,03074
Comunidad Valenciana,10,Alicante/Alacant,03,Guardamar del Segura,03076
Comunidad Valenciana,10,Alicante/Alacant,03,Hondón de los Frailes,03078
Comunidad Valenciana,10,Alicante/Alacant,03,Ibi,03079
Comunidad Valenciana,10,Alicante/Alacant,03,Jacarilla,03080
Comunidad Valenciana,10,Alicante/Alacant,03,Jávea/Xàbia,03082
Comunidad Valenciana,10,Alicante/Alacant,03,Jijona/Xixona,03083
Comunidad Valenciana,10,Alicante/Alacant,03,Llíber,03085
Comunidad Valenciana,10,Alicante/Alacant,03,"Lorcha/Orxa, l'",03084
Comunidad Valenciana,10,Alicante/Alacant,03,Millena,03086
Comunidad Valenciana,10,Alicante/Alacant,03,Monforte del Cid,03088
Comunidad Valenciana,10,Alicante/Alacant,03,Monóvar/Monòver,03089
Comunidad Valenciana,10,Alicante/Alacant,03,"Montesinos, Los",03903
Comunidad Valenciana,10,Alicante/Alacant,03,Murla,03091
Comunidad Valenciana,10,Alicante/Alacant,03,Muro de Alcoy,03092
Comunidad Valenciana,10,Alicante/Alacant,03,Mutxamel,03090
Comunidad Valenciana,10,Alicante/Alacant,03,Novelda,03093
Comunidad Valenciana,10,Alicante/Alacant,03,"Nucia, la",03094
Comunidad Valenciana,10,Alicante/Alacant,03,Ondara,03095
Comunidad Valenciana,10,Alicante/Alacant,03,Onil,03096
Comunidad Valenciana,10,Alicante/Alacant,03,Orba,03097
Comunidad Valenciana,10,Alicante/Alacant,03,Orihuela,03099
Comunidad Valenciana,10,Alicante/Alacant,03,Orxeta,03098
Comunidad Valenciana,10,Alicante/Alacant,03,Parcent,03100
Comunidad Valenciana,10,Alicante/Alacant,03,Pedreguer,03101
Comunidad Valenciana,10,Alicante/Alacant,03,Pego,03102
Comunidad Valenciana,10,Alicante/Alacant,03,Penàguila,03103
Comunidad Valenciana,10,Alicante/Alacant,03,Petrer,03104
Comunidad Valenciana,10,Alicante/Alacant,03,Pilar de la Horadada,03902
Comunidad Valenciana,10,Alicante/Alacant,03,"Pinós, el/Pinoso",03105
Comunidad Valenciana,10,Alicante/Alacant,03,Planes,03106
Comunidad Valenciana,10,Alicante/Alacant,03,"Poblets, els",03901
Comunidad Valenciana,10,Alicante/Alacant,03,Polop,03107
Comunidad Valenciana,10,Alicante/Alacant,03,Quatretondeta,03060
Comunidad Valenciana,10,Alicante/Alacant,03,Rafal,03109
Comunidad Valenciana,10,Alicante/Alacant,03,"Ràfol d'Almúnia, el",03110
Comunidad Valenciana,10,Alicante/Alacant,03,Redován,03111
Comunidad Valenciana,10,Alicante/Alacant,03,Relleu,03112
Comunidad Valenciana,10,Alicante/Alacant,03,Rojales,03113
Comunidad Valenciana,10,Alicante/Alacant,03,"Romana, la",03114
Comunidad Valenciana,10,Alicante/Alacant,03,Sagra,03115
Comunidad Valenciana,10,Alicante/Alacant,03,Salinas,03116
Comunidad Valenciana,10,Alicante/Alacant,03,San Fulgencio,03118
Comunidad Valenciana,10,Alicante/Alacant,03,San Isidro,03904
Comunidad Valenciana,10,Alicante/Alacant,03,San Miguel de Salinas,03120
Comunidad Valenciana,10,Alicante/Alacant,03,San Vicente del Raspeig/Sant Vicent del Raspeig,03122
Comunidad Valenciana,10,Alicante/Alacant,03,Sanet y Negrals,03117
Comunidad Valenciana,10,Alicante/Alacant,03,Sant Joan d'Alacant,03119
Comunidad Valenciana,10,Alicante/Alacant,03,Santa Pola,03121
Comunidad Valenciana,10,Alicante/Alacant,03,Sax,03123
Comunidad Valenciana,10,Alicante/Alacant,03,Sella,03124
Comunidad Valenciana,10,Alicante/Alacant,03,Senija,03125
Comunidad Valenciana,10,Alicante/Alacant,03,Tàrbena,03127
Comunidad Valenciana,10,Alicante/Alacant,03,Teulada,03128
Comunidad Valenciana,10,Alicante/Alacant,03,Tibi,03129
Comunidad Valenciana,10,Alicante/Alacant,03,Tollos,03130
Comunidad Valenciana,10,Alicante/Alacant,03,Tormos,03131
Comunidad Valenciana,10,Alicante/Alacant,03,"Torremanzanas/Torre de les Maçanes, la",03132
Comunidad Valenciana,10,Alicante/Alacant,03,Torrevieja,03133
Comunidad Valenciana,10,Alicante/Alacant,03,"Vall d'Alcalà, la",03134
Comunidad Valenciana,10,Alicante/Alacant,03,"Vall de Gallinera, la",03136
Comunidad Valenciana,10,Alicante/Alacant,03,"Vall de Laguar, la",03137
Comunidad Valenciana,10,Alicante/Alacant,03,"Vall d'Ebo, la",03135
Comunidad Valenciana,10,Alicante/Alacant,03,"Verger, el",03138
Comunidad Valenciana,10,Alicante/Alacant,03,"Villajoyosa/Vila Joiosa, la",03139
Comunidad Valenciana,10,Alicante/Alacant,03,Villena,03140
Comunidad Valenciana,10,Alicante/Alacant,03,Xaló,03081
Andalucía,01,Almería,04,Abla,04001
Andalucía,01,Almería,04,Abrucena,04002
Andalucía,01,Almería,04,Adra,04003
Andalucía,01,Almería,04,Albanchez,04004
Andalucía,01,Almería,04,Alboloduy,04005
Andalucía,01,Almería,04,Albox,04006
Andalucía,01,Almería,04,Alcolea,04007
Andalucía,01,Almería,04,Alcóntar,04008
Andalucía,01,Almería,04,Alcudia de Monteagud,04009
Andalucía,01,Almería,04,Alhabia,04010
Andalucía,01,Almería,04,Alhama de Almería,04011
Andalucía,01,Almería,04,Alicún,04012
Andalucía,01,Almería,04,Almería,04013
Andalucía,01,Almería,04,Almócita,04014
Andalucía,01,Almería,04,Alsodux,04015
Andalucía,01,Almería,04,Antas,04016
Andalucía,01,Almería,04,Arboleas,04017
Andalucía,01,Almería,04,Armuña de Almanzora,04018
Andalucía,01,Almería,04,Bacares,04019
Andalucía,01,Almería,04,Balanegra,04904
Andalucía,01,Almería,04,Bayárcal,04020
Andalucía,01,Almería,04,Bayarque,04021
Andalucía,01,Almería,04,Bédar,04022
Andalucía,01,Almería,04,Beires,04023
Andalucía,01,Almería,04,Benahadux,04024
Andalucía,01,Almería,04,Benitagla,04026
Andalucía,01,Almería,04,Benizalón,04027
Andalucía,01,Almería,04,Bentarique,04028
Andalucía,01,Almería,04,Berja,04029
Andalucía,01,Almería,04,Canjáyar,04030
Andalucía,01,Almería,04,Cantoria,04031
Andalucía,01,Almería,04,Carboneras,04032
Andalucía,01,Almería,04,Castro de Filabres,04033
Andalucía,01,Almería,04,Chercos,04036
Andalucía,01,Almería,04,Chirivel,04037
Andalucía,01,Almería,04,Cóbdar,04034
Andalucía,01,Almería,04,Cuevas del Almanzora,04035
Andalucía,01,Almería,04,Dalías,04038
Andalucía,01,Almería,04,"Ejido, El",04902
Andalucía,01,Almería,04,Enix,04041
Andalucía,01,Almería,04,Felix,04043
Andalucía,01,Almería,04,Fines,04044
Andalucía,01,Almería,04,Fiñana,04045
Andalucía,01,Almería,04,Fondón,04046
Andalucía,01,Almería,04,Gádor,04047
Andalucía,01,Almería,04,"Gallardos, Los",04048
Andalucía,01,Almería,04,Garrucha,04049
Andalucía,01,Almería,04,Gérgal,04050
Andalucía,01,Almería,04,Huécija,04051
Andalucía,01,Almería,04,Huércal de Almería,04052
Andalucía,01,Almería,04,Huércal-Overa,04053
Andalucía,01,Almería,04,Íllar,04054
Andalucía,01,Almería,04,Instinción,04055
Andalucía,01,Almería,04,Laroya,04056
Andalucía,01,Almería,04,Láujar de Andarax,04057
Andalucía,01,Almería,04,Líjar,04058
Andalucía,01,Almería,04,Lubrín,04059
Andalucía,01,Almería,04,Lucainena de las Torres,04060
Andalucía,01,Almería,04,Lúcar,04061
Andalucía,01,Almería,04,Macael,04062
Andalucía,01,Almería,04,María,04063
Andalucía,01,Almería,04,Mojácar,04064
Andalucía,01,Almería,04,"Mojonera, La",04903
Andalucía,01,Almería,04,Nacimiento,04065
Andalucía,01,Almería,04,Níjar,04066
Andalucía,01,Almería,04,Ohanes,04067
Andalucía,01,Almería,04,Olula de Castro,04068
Andalucía,01,Almería,04,Olula del Río,04069
Andalucía,01,Almería,04,Oria,04070
Andalucía,01,Almería,04,Padules,04071
Andalucía,01,Almería,04,Partaloa,04072
Andalucía,01,Almería,04,Paterna del Río,04073
Andalucía,01,Almería,04,Pechina,04074
Andalucía,01,Almería,04,Pulpí,04075
Andalucía,01,Almería,04,Purchena,04076
Andalucía,01,Almería,04,Rágol,04077
Andalucía,01,Almería,04,Rioja,04078
Andalucía,01,Almería,04,Roquetas de Mar,04079
Andalucía,01,Almería,04,Santa Cruz de Marchena,04080
Andalucía,01,Almería,04,Santa Fe de Mondújar,04081
Andalucía,01,Almería,04,Senés,04082
Andalucía,01,Almería,04,Serón,04083
Andalucía,01,Almería,04,Sierro,04084
Andalucía,01,Almería,04,Somontín,04085
Andalucía,01,Almería,04,Sorbas,04086
Andalucía,01,Almería,04,Suflí,04087
Andalucía,01,Almería,04,Tabernas,04088
Andalucía,01,Almería,04,Taberno,04089
Andalucía,01,Almería,04,Tahal,04090
Andalucía,01,Almería,04,Terque,04091
Andalucía,01,Almería,04,Tíjola,04092
Andalucía,01,Almería,04,"Tres Villas, Las",04901
Andalucía,01,Almería,04,Turre,04093
Andalucía,01,Almería,04,Turrillas,04094
Andalucía,01,Almería,04,Uleila del Campo,04095
Andalucía,01,Almería,04,Urrácal,04096
Andalucía,01,Almería,04,Velefique,04097
Andalucía,01,Almería,04,Vélez-Blanco,04098
Andalucía,01,Almería,04,Vélez-Rubio,04099
Andalucía,01,Almería,04,Vera,04100
Andalucía,01,Almería,04,Viator,04101
Andalucía,01,Almería,04,Vícar,04102
Andalucía,01,Almería,04,Zurgena,04103
Castilla y León,07,Ávila,05,Adanero,05001
Castilla y León,07,Ávila,05,"Adrada, La",05002
Castilla y León,07,Ávila,05,Albornos,05005
Castilla y León,07,Ávila,05,Aldeanueva de Santa Cruz,05007
Castilla y León,07,Ávila,05,Aldeaseca,05008
Castilla y León,07,Ávila,05,"Aldehuela, La",05010
Castilla y León,07,Ávila,05,Amavida,05012
Castilla y León,07,Ávila,05,"Arenal, El",05013
Castilla y León,07,Ávila,05,Arenas de San Pedro,05014
Castilla y León,07,Ávila,05,Arevalillo,05015
Castilla y León,07,Ávila,05,Arévalo,05016
Castilla y León,07,Ávila,05,Aveinte,05017
Castilla y León,07,Ávila,05,Avellaneda,05018
Castilla y León,07,Ávila,05,Ávila,05019
Castilla y León,07,Ávila,05,"Barco de Ávila, El",05021
Castilla y León,07,Ávila,05,"Barraco, El",05022
Castilla y León,07,Ávila,05,Barromán,05023
Castilla y León,07,Ávila,05,Becedas,05024
Castilla y León,07,Ávila,05,Becedillas,05025
Castilla y León,07,Ávila,05,Bercial de Zapardiel,05026
Castilla y León,07,Ávila,05,"Berlanas, Las",05027
Castilla y León,07,Ávila,05,Bernuy-Zapardiel,05029
Castilla y León,07,Ávila,05,Berrocalejo de Aragona,05030
Castilla y León,07,Ávila,05,Blascomillán,05033
Castilla y León,07,Ávila,05,Blasconuño de Matacabras,05034
Castilla y León,07,Ávila,05,Blascosancho,05035
Castilla y León,07,Ávila,05,"Bohodón, El",05036
Castilla y León,07,Ávila,05,Bohoyo,05037
Castilla y León,07,Ávila,05,Bonilla de la Sierra,05038
Castilla y León,07,Ávila,05,Brabos,05039
Castilla y León,07,Ávila,05,Bularros,05040
Castilla y León,07,Ávila,05,Burgohondo,05041
Castilla y León,07,Ávila,05,Cabezas de Alambre,05042
Castilla y León,07,Ávila,05,Cabezas del Pozo,05043
Castilla y León,07,Ávila,05,Cabezas del Villar,05044
Castilla y León,07,Ávila,05,Cabizuela,05045
Castilla y León,07,Ávila,05,Canales,05046
Castilla y León,07,Ávila,05,Candeleda,05047
Castilla y León,07,Ávila,05,Cantiveros,05048
Castilla y León,07,Ávila,05,Cardeñosa,05049
Castilla y León,07,Ávila,05,"Carrera, La",05051
Castilla y León,07,Ávila,05,Casas del Puerto,05052
Castilla y León,07,Ávila,05,Casasola,05053
Castilla y León,07,Ávila,05,Casavieja,05054
Castilla y León,07,Ávila,05,Casillas,05055
Castilla y León,07,Ávila,05,Castellanos de Zapardiel,05056
Castilla y León,07,Ávila,05,Cebreros,05057
Castilla y León,07,Ávila,05,Cepeda la Mora,05058
Castilla y León,07,Ávila,05,Chamartín,05067
Castilla y León,07,Ávila,05,Cillán,05059
Castilla y León,07,Ávila,05,Cisla,05060
Castilla y León,07,Ávila,05,"Colilla, La",05061
Castilla y León,07,Ávila,05,Collado de Contreras,05062
Castilla y León,07,Ávila,05,Collado del Mirón,05063
Castilla y León,07,Ávila,05,Constanzana,05064
Castilla y León,07,Ávila,05,Crespos,05065
Castilla y León,07,Ávila,05,Cuevas del Valle,05066
Castilla y León,07,Ávila,05,Diego del Carpio,05903
Castilla y León,07,Ávila,05,Donjimeno,05069
Castilla y León,07,Ávila,05,Donvidas,05070
Castilla y León,07,Ávila,05,Espinosa de los Caballeros,05072
Castilla y León,07,Ávila,05,Flores de Ávila,05073
Castilla y León,07,Ávila,05,Fontiveros,05074
Castilla y León,07,Ávila,05,Fresnedilla,05075
Castilla y León,07,Ávila,05,"Fresno, El",05076
Castilla y León,07,Ávila,05,Fuente el Saúz,05077
Castilla y León,07,Ávila,05,Fuentes de Año,05078
Castilla y León,07,Ávila,05,Gallegos de Altamiros,05079
Castilla y León,07,Ávila,05,Gallegos de Sobrinos,05080
Castilla y León,07,Ávila,05,Garganta del Villar,05081
Castilla y León,07,Ávila,05,Gavilanes,05082
Castilla y León,07,Ávila,05,Gemuño,05083
Castilla y León,07,Ávila,05,Gil García,05085
Castilla y León,07,Ávila,05,Gilbuena,05084
Castilla y León,07,Ávila,05,Gimialcón,05086
Castilla y León,07,Ávila,05,Gotarrendura,05087
Castilla y León,07,Ávila,05,Grandes y San Martín,05088
Castilla y León,07,Ávila,05,Guisando,05089
Castilla y León,07,Ávila,05,Gutierre-Muñoz,05090
Castilla y León,07,Ávila,05,Hernansancho,05092
Castilla y León,07,Ávila,05,Herradón de Pinares,05093
